movie.num,movie.year,movie.name,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6
1,2003,Dinosaur Planet,25,30,127,188,130,3.736
25,1997,Inspector Morse 31: Death Is Now My Neighbour,23,10,79,216,172,4.008
49,2003,Devo: The Complete Truth About De-evolution,21,21,44,73,72,3.6666666666666665
97,2002,Mostly Martha,12,22,108,241,117,3.858
121,2003,Beyonce: Live at Wembley,10,8,17,39,25,3.6161616161616164
145,1978,Get Out Your Handkerchiefs,51,68,177,114,45,3.074725274725275
169,2004,Cartoon Network Halloween: 9 Creepy Cartoon Capers,26,43,106,95,65,3.388059701492537
193,2005,Marilyn Manson: Fear of a Satanic Planet,24,24,29,19,25,2.975206611570248
217,1988,Cherry 2000,27,96,202,70,30,2.9529411764705884
265,2002,The Jeff Corwin Experience: Costa Rica and the Amazon,35,44,91,85,53,3.25
289,1998,The Avengers,124,180,130,54,12,2.3
313,2000,Pay It Forward,22,44,127,183,124,3.686
337,1983,Star 80,32,120,221,97,30,2.946
361,2004,The Phantom of the Opera: Special Edition,23,60,127,150,140,3.648
385,2002,The Santa Clause 2,11,45,150,189,105,3.664
409,1966,Godzilla vs. The Sea Monster,21,57,142,110,117,3.548098434004474
433,1993,Untamed Heart,9,57,186,152,96,3.538
457,2004,Kill Bill: Vol. 2,23,29,96,174,178,3.91
481,2002,Building the Great Pyramid,37,59,146,96,38,3.103723404255319
505,1997,A Thousand Acres,23,77,230,131,39,3.172
529,1998,Summer of the Monkeys,34,56,170,156,73,3.3640081799591
553,1995,Rangeela,68,70,137,146,79,3.196
577,1961,The Twilight Zone: Vol. 36,17,14,65,176,228,4.168
601,1992,The Smiths: The Complete Picture,48,50,115,110,83,3.3201970443349755
625,1999,Underground Comedy Movie,358,81,31,14,16,1.498
649,1999,Ricky Martin: The Ricky Martin Video Collection,19,11,20,10,20,3.0125
673,1999,Fight Club: Bonus Material,46,44,87,156,167,3.708
697,2000,Caillou: Caillou's Treasure Hunt and Other Adventures,38,7,55,75,34,3.287081339712919
721,1994,Royal Deceit,60,120,114,35,14,2.4839650145772594
745,1979,Fantasy Mission Force,38,37,17,9,12,2.2920353982300883
793,2004,By Brakhage: An Anthology,22,20,58,48,59,3.4927536231884058
817,1980,My Bodyguard,9,28,201,199,63,3.558
841,1994,There Goes My Baby,12,32,68,26,12,2.96
865,2005,Elvis by the Presleys,19,15,56,80,85,3.772549019607843
889,2004,Reno 911: Season 2,28,28,76,156,212,3.992
913,1979,Dead Kennedys: In God We Trust. Inc.,17,22,46,47,36,3.375
937,1998,Fallen,11,23,141,229,96,3.752
985,1999,The Mummy,23,34,139,173,131,3.71
1009,1997,Judaai,13,29,49,23,13,2.952755905511811
1033,1999,Spy Games,76,133,196,77,18,2.656
1057,1989,Doctor Who: Ghost Light,16,21,49,42,50,3.5
1081,2002,Back by Midnight,24,52,73,16,12,2.6610169491525424
1105,1993,RoboCop 3,50,103,188,96,63,3.038
1177,2004,Essential Music Videos: Totally 80s,51,30,26,5,10,2.122950819672131
1201,1991,True Colors,15,75,234,134,42,3.226
1225,2000,Jim Breuer: Heavy Metal Comedy,63,85,155,114,79,3.122983870967742
1249,1978,Taxi: Season 1,21,44,125,192,118,3.684
1273,1999,The Thrill Seekers,50,107,145,74,18,2.753807106598985
1297,1999,Agnes Browne,31,50,180,165,74,3.402
1321,2005,Midori Days,16,4,22,72,77,3.994764397905759
1345,1996,Tierra,18,27,40,34,11,2.9461538461538463
1369,1996,Breeders,67,67,33,12,9,2.0904255319148937
1393,1998,Mr. Murder,31,64,96,39,15,2.76734693877551
1417,2002,Shakedown,35,51,34,5,2,2.1181102362204722
1441,1998,Stargate SG-1: Season 2,27,14,46,112,301,4.292
1465,2001,Hysteria: The Def Leppard Story,21,20,78,47,50,3.3935185185185186
1489,2002,American Adobo,58,115,190,83,33,2.8288100208768268
1513,1962,The Twilight Zone: Vol. 42,13,14,68,177,228,4.186
