movie.num,custom.num,ratio,custom.year
13369,1625310,5,2005-03-17
13369,541295,5,2005-04-08
13369,303948,3,2005-09-12
13369,635624,2,2005-10-21
13369,1110453,5,2005-08-31
13369,1227322,1,2005-06-02
13369,77550,5,2005-05-25
13369,1513622,3,2005-05-19
13369,2069818,3,2005-06-01
13369,297521,3,2005-05-01
13369,1784150,3,2005-06-06
13369,2221430,3,2005-07-30
13369,705703,3,2005-10-18
13369,1881487,5,2005-10-18
13369,1652711,5,2005-09-08
13369,161133,4,2005-05-27
13369,997518,4,2005-06-13
13369,1972677,5,2005-11-07
13369,438369,3,2005-11-30
13369,2600758,5,2005-05-24
13369,845754,4,2005-05-31
13369,1574842,5,2005-08-22
13369,531237,2,2005-06-26
13369,2466950,4,2005-08-14
13369,636262,1,2005-08-23
13369,91515,4,2005-06-28
13369,1991429,4,2005-04-20
13369,2585607,3,2005-09-27
13369,2439493,1,2005-08-19
13369,1802785,3,2005-05-01
13369,332923,3,2005-05-01
13369,266900,5,2005-06-13
13369,1558516,3,2005-06-24
13369,2134563,1,2005-10-11
13369,1562322,3,2005-06-20
13369,792534,4,2005-06-03
13369,2006138,4,2005-10-08
13369,2106857,5,2005-11-08
13369,232421,1,2005-07-12
13369,1694767,2,2005-07-07
13369,423204,4,2005-06-08
13369,2404219,3,2005-06-20
13369,1501943,3,2005-05-01
13369,1692295,5,2005-05-04
13369,1900,3,2005-05-19
13369,586276,4,2005-09-23
13369,2302897,5,2005-04-02
13369,2221057,3,2005-08-23
13369,507603,1,2005-08-01
13369,199435,2,2005-06-29
13369,1305910,4,2005-10-17
13369,352831,4,2005-05-14
13369,1690900,4,2005-05-26
13369,644955,2,2005-08-29
13369,2578830,3,2005-05-30
13369,501808,4,2005-09-23
13369,1589063,4,2005-09-27
13369,2397080,2,2005-09-17
13369,270634,5,2005-11-27
13369,806991,4,2005-06-16
13369,1014585,5,2005-07-09
13369,1664010,4,2005-10-12
13369,1783543,3,2005-04-09
13369,2253113,3,2005-05-04
13369,1083952,3,2005-05-09
13369,2482938,3,2005-05-28
13369,1605728,3,2005-08-15
13369,584376,3,2005-04-24
13369,2020689,4,2005-07-17
13369,128901,5,2005-07-26
13369,2004105,3,2005-06-10
13369,2052283,4,2005-06-17
13369,2011704,4,2005-07-15
13369,334578,4,2005-07-20
13369,1327597,5,2005-05-18
13369,1407578,4,2005-06-10
13369,622881,5,2005-07-09
13369,2366454,4,2005-07-08
13369,261764,5,2005-11-10
13369,66296,4,2005-05-24
13369,472332,4,2005-06-03
13369,556926,5,2005-08-30
13369,2377815,5,2005-05-03
13369,2096501,3,2005-07-26
13369,721718,5,2005-06-07
13369,79740,4,2005-06-01
13369,815585,5,2005-02-24
13369,1858464,3,2005-05-27
13369,1763653,4,2005-06-03
13369,3097,4,2005-08-10
13369,2299596,4,2005-05-11
13369,2322390,4,2005-06-27
13369,2434166,4,2005-06-14
13369,305344,1,2005-04-27
13369,510173,3,2005-06-14
13369,564572,2,2005-05-26
13369,2038078,3,2005-06-22
13369,373416,3,2005-07-18
13369,2147527,1,2005-11-18
13369,2216721,5,2005-08-24
13369,651230,1,2005-05-26
13369,2309145,5,2005-11-10
